YEAR,MONTH,DAY,HOUR,VALUE
2020,1,9,21,72.0
2020,1,9,22,72.0
2020,1,9,23,60.0
2020,1,10,0,37.0
2020,1,10,1,21.0
2020,1,10,2,24.0
2020,1,10,3,30.0
2020,1,10,4,30.0
2020,1,10,5,46.0
2020,1,10,6,49.0
2020,1,10,7,66.0
2020,1,10,8,82.0
2020,1,10,9,81.0
2020,1,10,10,79.0
2020,1,10,11,56.0
2020,1,10,12,44.0
2020,1,10,13,41.0
2020,1,10,14,33.0
2020,1,10,15,35.0
2020,1,10,16,39.0
2020,1,10,17,49.0
2020,1,10,18,47.0
2020,1,10,19,49.0
2020,1,10,20,55.0
2020,1,10,21,56.0
2020,1,10,22,45.0
2020,1,10,23,37.0
2020,1,11,0,42.0
2020,1,11,1,35.0
2020,1,11,2,28.0
2020,1,11,3,38.0
2020,1,11,4,36.0
2020,1,11,5,46.0
2020,1,11,6,35.0
2020,1,11,7,47.0
2020,1,11,8,46.0
2020,1,11,9,52.0
2020,1,11,10,46.0
2020,1,11,11,41.0
2020,1,11,12,34.0
2020,1,11,13,36.0
2020,1,11,14,38.0
2020,1,11,15,46.0
2020,1,11,16,54.0
2020,1,11,17,62.0
2020,1,11,18,81.0
2020,1,11,19,91.0
2020,1,11,20,94.0
2020,1,11,21,93.0
2020,1,11,22,78.0
2020,1,11,23,68.0
2020,1,12,0,75.0
2020,1,12,1,71.0
2020,1,12,2,60.0
2020,1,12,3,57.0
2020,1,12,4,52.0
2020,1,12,5,49.0
2020,1,12,6,47.0
2020,1,12,7,45.0
2020,1,12,8,47.0
2020,1,12,9,46.0
2020,1,12,10,51.0
2020,1,12,11,51.0
2020,1,12,12,57.0
2020,1,12,13,59.0
2020,1,12,14,63.0
2020,1,12,15,68.0
2020,1,12,16,72.0
2020,1,12,17,78.0
2020,1,12,18,83.0
2020,1,12,19,82.0
2020,1,12,20,85.0
2020,1,12,21,89.0
2020,1,12,22,92.0
2020,1,12,23,81.0
2020,1,13,0,74.0
2020,1,13,1,61.0
2020,1,13,2,62.0
2020,1,13,3,53.0
2020,1,13,4,48.0
2020,1,13,5,48.0
2020,1,13,6,47.0
2020,1,13,7,53.0
2020,1,13,8,65.0
2020,1,13,9,77.0
2020,1,13,10,78.0
2020,1,13,11,89.0
2020,1,13,12,90.0
2020,1,13,13,72.0
2020,1,13,14,73.0
2020,1,13,15,74.0
2020,1,13,16,53.0
2020,1,13,17,50.0
2020,1,13,18,62.0
2020,1,13,19,75.0
2020,1,13,20,78.0
2020,1,13,21,90.0
2020,1,13,22,90.0
2020,1,13,23,88.0
2020,1,14,0,81.0
2020,1,14,1,76.0
2020,1,14,2,62.0
2020,1,14,3,49.0
2020,1,14,4,53.0
2020,1,14,5,48.0
2020,1,14,6,52.0
2020,1,14,7,57.0
2020,1,14,8,67.0
2020,1,14,9,85.0
2020,1,14,10,96.0
2020,1,14,11,92.0
2020,1,14,12,67.0
2020,1,14,14,59.0
2020,1,14,15,38.0
2020,1,14,16,35.0
2020,1,14,17,39.0
2020,1,14,18,63.0
2020,1,14,19,77.0
2020,1,14,20,59.0
2020,1,14,21,88.0
2020,1,14,22,91.0
2020,1,14,23,82.0
2020,1,15,0,76.0
2020,1,15,1,74.0
2020,1,15,2,79.0
2020,1,15,3,71.0
2020,1,15,4,66.0
2020,1,15,5,55.0
2020,1,15,6,60.0
2020,1,15,7,68.0
2020,1,15,8,73.0
2020,1,15,9,64.0
2020,1,15,10,66.0
2020,1,15,11,81.0
